,리뷰
22,"❤️
사진 속 블러셔와 하라 다 에스쁘아 제품ㅇㅇ
솔직히. 블러셔는. 그냥 그랬음.
치크광인이라 블러셔에 기대 267263818만큼 했는데 뭐랄까 미묘하게 좀 아쉬웠다.
빠지는 거 하나 없음.
색도 중명도 분홍이라 허옇게 안 뜨고 적당히 차분한 듯 뽀용한 듯 예쁨.
젤리 치크 쪽도 불그스름한 홍조색으로 잘 빠짐.
근데 왜 미묘하게 뭔가 부족하다 싶은 건지... 흠...
동봉된 브러쉬가 맘에 안 들어서 그런가 🤔
브러쉬 질은 믜친 거 아니야? 소리 나올 정도로 좋았으나 커팅이... 쓰읍...
🧡
아무튼 하이라이터는 정말 맘에 들었음.
예상 외로 어마무시하게 이쁘자너ㅋㅋ
광감 도랏슴ㄷㄷ 반사광 미치게 예뻐서 계에ㅔㅔ속 사진 찍음ㅋㅋㅋ
루돌프마냥 미친 발광을 뽐내는 코 끝을 보셈
진 주 그 자 체 (영롱✨️)
광대뼈에도 스윽 쓸어 발랐더니
ㅎF
고개 돌릴 때마다 아름다운 핑크빔이 나를 둘러쌈
(그리고 하라 브러쉬가 아주 부드럽게 피부를 쓸면서 하라 입자를 얇고 곱고 균일하게 싹 도포함. 이넘 진짜 메친넘이고 요물이다. 반드시 여러 개 가져야만.)
💛
하라 색도 적보라색이라 따끈한 느낌으로 나의 노란 피부색과 잘 어우러짐ㅠㅠ 넘예짱예;;
핑크빔 좌아ㅏㅏ앙 쏘는데 부담스럽지 않고 그냥 이쁨 🥹 나 감동 돼
💚
게다가 하라 사면 증정해 준 팬 브러쉬 퀄리티가 미치고 팔짝 뛸 수준으로 좋음.
뭐야? 왜 이래?
에스쁘아 제정신이면 이거 당장 돈 받고 파셈;;;
제발.
나 진심이야.
💙
이번에 같이 온 브러쉬들 전부 완성도 돌아버림...
우리 집 고양이보다 더 부드럽고 고운 털의 집합체라니까 🥺🫶🏻
블러셔 브러쉬도 컷팅만 좀 바꿔서 다시 내 주라...
하라 브러쉬도 꼭 팔아 주라...
이게 비매품이라는 사실을 되새길 때마다 나 눈앞이 깜깜해지고 갓썸을 쥐어뜯으며 울부짖는 늑대가 돼 🥲
제발 팔아 주라..."
23,"윈터 메컵이 너무 예뻐.. 구매 갈겨씀미다.. ㅋㅋ
저는 웜인데 핑크 메컵을 자주 하기도 하고
밝게 만들어서 올리기 때문도 있구 해서
핑크 아이싱 / 핑크 마린 으러 주문 했어요
다른컬러는 너무 노랗게 올라올까봐 ㅠ 그건 싫기두 하구.. 집에 비슷한 컬러도 많구
윈터 핑크 메이크업⍤⃝𓂭 예뻐서 이걸루 구매,,!
카메라가 깨져서 ㅠ 선명하진 않아요 
제일 왼쪽이 하라 / 두번째 세번째가 핑크 아이싱 임니당
피부 톤 밝게 깔구나서 메컵 해보려구요
우선은 어두운 팔에 올리니 예쁜 색감은 안 나와서.ㅎ
발림성은 너무 좋구 
사은품도 보내주셔서 감사함미당 
비싼감이 없지않아 있는데 우선 잘 사용해 보겠슴니당 😝"
24,"톤페어링 피치피즈
하이라이터 씨쉘

결론부터 에메한 색들 하이라이터는. 퀄리티가 너무 떨어진다 



치크가 반은 습식타입  반은 가루타입 
은은한 하이라이터 제형이고 반짝반짝 미세 한펄있어요
치크인데 오히려 은은한 페이스 하이라이트로 써도 될듯하고 내장된 브러쉬로 발색시  습식제형부분 색상은 안올라와요 반짝임만 발색되고
왼쪽색상 부분은 발색됩니다
가루날림. 적고 피치색이 소량만  분포되어서 
흰끼부분이 더 많아서 이건 좀 어중간합니다
핑크빛도 돌기도하고

*개인적으로
피치톤 찾는분이 쓰기에는  베이스색이 너무 많이. 분포되있어서  실제 사용시.다른 피치나 살구색 하나더 있어야할듯 

*이톤도 저톤도 아닌 피부쓰기에는 맞아요
브러쉬는 왼쪽 가루부분 발색시에만 색감올라옵니다
가격대비 조금 아쉬운 제품이네요

**하이라이터 씨쉘***
구운타입인가. 입자 건조합니다
촤르르 흐르는 쉬머제형
퀄리티가 떨어지는 제형이네요
이 하이라이터가 습식제형으로 나왔다면
뭉침있고 뜨기도 하네요 제형 특성상
색상은 아이보리 정도"
25,"와 진짜 처음에 무조건 하이라이터는 핑크마린, 블러셔는 비올레타만 주문하려다가 윈터가 핑크아이싱, 핑크마린으로 메이크업한 거 그리고 다른 후기들에서 씨쉘 극찬이 많아서 못 참고 다 질렀어요....저 원래 샴페인 색은 노란기 많이 도는 웜톤용이라 생각해서 별로 안 끌렸거든요 근디 실제로 받아보니 정말 예쁘게 피부색에 어우러질 수 있는데 화이트-아이보리 였습니다!
블러셔도 제가 겨울쿨톤 다크 베스트라 핑크아이싱이 둥둥 뜰 것 같아서 고민 많았는데 생각보다 흰기가 별로 없어서 저한테도 잘 어울렸어요
게다가 저는 오로라 컬러까지 타플랫폼 체험단으로 당첨돼서 하이라이터 3종을 다 쟁이게 된 사람이 되었습니다... 3개 가지고 싶었지만 최대 2개만 구매할 생각이었던 저에게 정말 큰 행운이 따라준 것 같아요ㅠㅠ
결론은 너무너무 만족스럽습니다! 돈이 하나도 안 아깝고 그만큼 실패한 게 없었어요 블러셔 젤리 마감으로 말이 많아서 걱정됐는데 저는 둘 다 문제 없는 걸로 잘 왔습니다 배송할 때 신경써서 보내주신 건가 했어요
실 결제가 79,000원대였는데 리뷰쓰면 14,000원 정도 네이버페이 포인트 돌려받게 돼서 65,000원에 저렇게 다 가졌다고 생각하면 좋은 소비라고 생각합니다 파우치 브러쉬 세트를 사은품으로 받게 돼서 기분 좋아요ㅎㅎ"
26,"하이라이터가 너무이뻐요!!
현재 디올 로즈골드를 가지고 있어서 하이라이터가 또 필요할까 심지어 용량도 이렇게 많은데... 했는데 베이크드 타입이라 해서 궁금했기도 하고 라방에서 세트가 많이 싸게 나와서 구매했어요
다른분들은 블러셔에 금가서 오셨다고 하는데 저는 다행히 무사히 도착했어요.
먼저 치크는 파우더타입은 평범한데 젤리타입이 진짜 광이 너무 예쁘게 차르르 돌아서 젤리타입 많이 사용할것같아요. 뽀용한 핑크계열 블러셔는 이미 많이 있어서 비올레타 구매했는데 나중에 핑크아이싱도 같이 구매할거같아요
원래 치크만 사려다가 하이라이터는 별 기대 안하고 같이 구입했는데 진짜 하이라이터가 더 물건인거같아요! 동봉된 브러쉬로 몇번 쓸었는데 이렇게 영롱한 핑크빔이 발사돼서 놀랬습니다... 저는 피부가 좀 어두운톤인데 맑고 화사한 피부톤 가지신 분들이 쓰면 더 예쁠것같아요. 빔이 너무 예쁘게 잘올라와서 나중에 씨쉘도 구매의사 있습니다!"
27,"너무 궁금해서 뜨자마자 구매했어요!! 진짜 후회없는 선택이네요. 하이라이터 진주빔 스타일에 존재감 있는 편이라 좋아요. 입자가 고와서 코 모공에 끼이는 거 없이 잘 발립니다. 처음에 하이라이터 브러쉬가 없어서 누락인가 했는데 상자 안에 같이 들어있었어요. ṑṑ
블러셔는 모공블러도 잘해주고 발색이 잘되서 좋아요. 다만 제 피부가 좀 어두운 편이라 그런지 젤리부분은 색감이 강한 편은 아니라 아쉬워요. 그래도 블러셔하고 그 위에 비슷한 느낌의 하이라이터 얹어주는 느낌으로 바르면 예쁩니다!
너무 기대한 만큼의 만족스러운 제품이에요!!"
28,"씨쉘을 구입하고 핑크마린은 고민하다 구매해봤는데 너무 이쁜 핑크빔입니다!!함께 구매했던 치크들도 색이 정말정말 이뻐요..젤 부분이 깨져오는 상황이 너무 많아 걱정했습니다만, 무사히 도착한 것 같습니다!
하이라이터들은 역시나 정말 이쁩니다!추천드려요!!(손등이 좀 타서,,좀 더 누런 점 이해해주세요!)"
29,"순서대로
하이라이터 시쉘 형태
하이라이터 볼록한 곳
하이라이터 일반 발색
블러셔 (왼쪽부터 연핑/진핑/젤리)

하이라이터 처음 왔을때 마감이 넘 아쉬웠어요 블러셔는 불량이 많다고 해서 걱정했는데 블러셔는 제대로 왔고 하이라이터 마감이.. 할인해서 사서 다행이지ㅠ 예뻐서 교환 없이 그냥 쓸것 같아요
하이라이터는 브러쉬로 발라도 예쁘고 손으로 발라도 예뻐요!
블러셔도 생각보다 덜 촌스러운 색깔이고, 젤리 블러셔가 보라펄과 블루펄이 모두 느껴져서 예뻤어요~ 이 젤리블러셔랑 하이라이터 살짝 섞어주면 예쁘더라고요~
블러셔 브러쉬는 생각보다 블러셔가 잘 파이고 조금 따가워서 다른 브러쉬로 쓸것 같아요.
둘 다 마음에 들게 예뻐서 세트로  사길 잘했다 생각들어요!"
30,"씨쉘을 정말 기대했는데, 반들반들한 자연스러운 윤광이 생기는 하이라이터예요! 손으로 만졌을 땐 입자가 곱긴 해도 서걱하단 느낌이 있는데, 느낌과 다르게 바르면 약간의 물광 느낌도 납니다. 개인적으로 펄이 잘 보이지 않을 정도로 쉬머한 하이라이터를 좋아하는데, 펄이 하라 중엔 중간 크기 정도로 눈에 띄긴 합니다. 그렇다고 글리터 수준은 아니고, 전반적으로 자연스러운 색감과 발색이라 괜찮아요! 근데 자연스럽다는 건? 엄청나게 반사력이 좋지는 않다는 거죵~ 퀄리티가 분명히 좋고.. 하라도 예쁘지만 정가 주고 사기는 아깝고요. 내가 하이라이터가 많은데도 굳이 사야 하는 정도의 하이라이터는 아니고, 하이라이터가 없는데 자연스러우면서 어느정도 괜찮은 하이라이터가 필요하다면 하나쯤 구매해봐도 좋을 것 같습니다. 아, 색상은 거의 화이트처럼 보이는 아이보리입니다. 그렇기에 굳이 퍼컬 따질 필요는 없을 것 같아요!

블러셔는 핑크아이싱을 샀는데, 가루타입은 그냥 흔한 여쿨 핑크 블러셔예요. 다만 쉬머가 예쁩니다. 하이라이터 없이 쉬머 하나만으로도 어느 정도 피부에서 비치듯 은은한 광이 올라오는 표현이 돼요! 가루타입은 증정으로 온 브러쉬로 쓸었더니 허물어지듯이 가루가 날려서 당황했습니다 ◠‿◠,,,"
31,"충동구매 후기 남깁니다..!

🧡블러셔
원래 피치색 좋아하는 봄웜라이트라 뮤드거랑 비교해봄
두개 색 섞발하면 피치어피치 나올거 같고 
왼쪽 연핑크 색이 밝고 확실히 분홍기가 많이돌아서 피부색 많이 탈거 같아요
살짝 쿨한가…? 싶어서 블루밍서울이랑 비교해봤는데 전혀 아님 확실의 웜핑크

질감은 되게 좋아요 뮤드처럼 모공 메꿔주는 느낌

그리고 👍🏻오른쪽 블러셔가 찐입니다..진짜로..
힌스에 멜로우 살까말까 고민하다가 좀 아쉬워서 안샀었는데 얘랑 거의 흡사함 비슷해요
사실 이거 때문에 산거라 너무 만족합니다

🧡하이라이터
씨쉘 이름값 제대로 함. 사진에서는 잘 안보이는데 진짜 그 밑색..??없어서 투명하고 촘촘하게 올라와요 확실히 골드쉬어가 뽝!! 이긴한데 광이 달라요

특유의 퍼석함 아예없고 씨쉘은 피부가 좋아보이는 광으로 보이고 골드쉬어보다 누런기가 없어서 쿨톤분들도 잘 쓸거 같은 색

브러쉬 말모~ 신상이라 리뷰가 없어서 불편했어서 자세히 썼으니 도움이 되길🙂‍↕️"
32,"얼마나 기다렸는지.몰라요.요새.이런 마블하라 종종나오지만 에스쁘아가 젤 이쁜거같아요.런칭만 기달렸는데 라방에.구성좋고 가격좋구요
블러셔는 고민하다가 그냥 좋아하는 색인 핑크아이싱으로 샀는데 젤리타입쪽 색이 꽃분홍이네요ㅣ피치나 비올레타 요런 차분한 색도 이뻣겄어요. 하라는 두 색 다 구입했어요. 예전 투페이스드 보석 하라처럼.네모난 돔처럼 올라와있는데 단단한데.질감고운거 미쳤어요!!! 
씨쉘은 무난한색이고 핑크마린은 너무.이쁜 여리한 핑크라벤더예요. 브러쉬증정받아서 좋고.머리끈하고.틴스틱도 받았어요. 
블러셔도 하나 더 사야 할거 같아요"
33,"21~22호 웜톤 이에요. 피치피즈치크,씨쉘 하이라이터 했는데 색 괜찮은것같아요. 특히 치크는 로제트 컬러랑 고민이 많이 됬는데 이제 곧 더워지는 계절이고 해서 더워보일까봐 톤다운된 로제트보다는 좀 더 밝은 색감인 피치피즈로 골랐어요. 발색해보니 라방때 보였던것보단 색감이 잘 올라왔고 예쁘더라고요~특히 젤리같은 질감의 치크부분이 색감이 참 예쁘더라고요 잔펄도 콕콕 박혀 있어서 촉촉하게 보여지는거 같아요~ 씨쉘 하이라이터도 잔잔한 펄이 좀 보이긴하나 물광처럼 보여서 괜찮은것같아요. 질감은 좀 서걱서걱 거리긴합니다. 같이 증정되어 온 치크,하이라이터브러시는 생각했던것보다 길이나 크기가 작아요 휴대용브러시같은 느낌이에요. 그래서 들고다니면서 쓸 수 있을것같아요."
34,"핑크아이싱 핑크마린 조합 미쳤어요
얼굴에 올렸을때 표현도 아주 예뻐요
화장 지우기 아까워서 거울만 몇십분 봤네용
올해 산 하라 블러셔중에 젤 맘에 듭니당
블러셔는 3가지 컬러를 사용할 수 있어서 좋았고 하이라이터는 촉촉 투명 새틴광이라 이뿐데 여러번 덧바르면 여자아이돌 뽀용 메이크업 뺨치는 핑크빔 발사됩니다! 핑크 좋아하시면 들여보시는걸 추천!! 증정 브러쉬들도 퀄리티 좋고 궁합 찰떡
귀여운 파우치랑 스크런치도 주니 런칭할때 사는게 이득..!"
35,"와 원래 귀찮아서 리뷰 잘 안남기는데 진짜 너무 대박이라 리뷰 남깁니다… 
일단 에스쁘아…증정으로 주신 블러셔 브러쉬 판매해주실 생각 없으신가요ㅠㅠ너무  대박이에요… 비슷한 컷팅모양의 ㅂㅇㅂ 브러쉬보다도 갠적으로 좋다고 느껴지고 블러셔 컬러도 미쳤습니다
사진으로 보기에는 좀 더 웜한 번트로즈/코랄로즈 처럼 보였는데 얼굴에 올리니 제얼굴에는 핑키한 뮤트로즈로 올라와요!! 저는 갈뮤트지만 핑크가 더 잘받아서 너무 만족스러워용ㅎㅎ
그리고 하이라이터는 사진을 못찍었는데 블러셔 질감이랑 세트로 너무…!!!!! 잘어울립니다
퍼석거리면서 펄 입자 크게 올라가는 하이라이터는 안좋아하는데 피부에 스며들듯이 발리고 광도 화려한듯 자연스러운듯 너무 예쁘게 올라가요 진짜 최고입니다…..🩷🩷🩷 너무 예뻐서 흥분해서 썼는데 진짜 고민중이신 분들은 사세요!! 에스쁘아는 브러쉬도 출시해주시길 부탁드립니다🫶🏻"
36,"일단 블러셔는 핑크 아이싱 색상이 쿨톤에게 딱 뽀용한 핑크라 좋아요! 그런데 단점이 하나 있다면 가루 블러셔가 같이 온 브러쉬로 바르면 가루날림이 정말..심해요..그리고 블러셔 브러쉬가 생각보다 톡톡 바르먄 피부가 따갑네요.. 색은 이쁩니다.. 그리고 발색을 확실히 내려면 크림(?)부분 블러셔 쓰면 색도 잘 올라오고 예쁩니다! 좀 더 써 봐야겠지만 좋아요! 

그리고 하이라이터는 씨쉘 샀는데 색이 진짜 웜쿨 안 타는 딱 아이보리? 빛이에요..! 저는 여쿨이라 혹시라도 노랄까봐 걱정했는데 안 노랗고 딱 진주 빛 광을 얹어주네요..!!!! 코에 바를때 자연스럽게 이쁜 것 같아요.. 블러셔랑도 발라봤는데 브러쉬로 바르먄 자연스럽게 발색이 돼서 티나게 하고싶으면 손으로 바르는게 좋을 듯 하네용!! 하이라이터 오만 화장에 다 잘 쓸 수 있을 것 같아서 잘 산 것 같아요!!"
37,"블러셔는 발색이 은은해요 증정으로 준 블러셔 브러쉬가 브오브를 좀 따라한것같은,,^^ (개인적으로 에스쁘아가 더 좋았어요) 
하이라이터는 듀이문에 비해 노란끼가 빠져사 쿨톤 분들도 잘 쓰실 수 있을것같구 피부에 올렸을때 발색이 자연스럽고 은은해요 하이라이터 브러쉬 크기가 작아서 실망했는데 작아서 힘도 잘들어가도 발색 잘돼서 좋네용 
에스쁘아는 굿즈맛집!!!!!🩷"
38,"너무너무 예쁩니다!! 🥰 
23호 갈웜인데 로제트 너무 예쁘게 발색돼요!! 
사진으로는 색감이 잘 안 담기는 거 같은데 진짜 로즈컬러 느낌입니다 ㅠㅠ 특히 펄 블러셔 너무 예뻐요!!
ㅠㅠ 대만족 씨쉘도 발색 너무 예쁩니당!! 
같이 온 미니 스크런치랑 파우치도 귀여워요🧡🩷"
39,"어제 저녁에 시켰는데 오늘 낮에 왔어요!! 
배송 진짜 발라서 좋고요 라이브때 사서 그런지 더 싼 가격으로 치크랑 하라까지 살 수 있어서 너무 좋았습니다.
스크런치랑 파우치 넘 귀엽고 여행 갈때 하라랑 치크 쏙 들어갈 수 있는 크기라서 좋은 것 같아요 🌸

브러쉬도 하라 브러쉬 치크 브러쉬 각각 1개씩 와서 좋아요

하라 색상도 진주알 마냥 고급스럽게 광이 나면서 착 밀착됩니다 치크도 쿨톤에 맞게 화사한 핑크 색상이에요🥰

하라는 핑크마린과 씨쉘 중에 고민했는데 씨쉘이 더 광이 많이 나는 것 같아서 씨쉘로 했습니다

에스쁘아 일냈다...!"
40,"어제 저녁에 시켰는데 오늘 낮에 왔어요!! 
배송 진짜 발라서 좋고요 라이브때 사서 그런지 더 싼 가격으로 치크랑 하라까지 살 수 있어서 너무 좋았습니다.
스크런치랑 파우치 넘 귀엽고 여행 갈때 하라랑 치크 쏙 들어갈 수 있는 크기라서 좋은 것 같아요 🌸

브러쉬도 하라 브러쉬 치크 브러쉬 각각 1개씩 와서 좋아요

하라 색상도 진주알 마냥 고급스럽게 광이 나면서 착 밀착됩니다 치크도 쿨톤에 맞게 화사한 핑크 색상이에요🥰

하라는 핑크마린과 씨쉘 중에 고민했는데 씨쉘이 더 광이 많이 나는 것 같아서 씨쉘로 했습니다

에스쁘아 일냈다...!"
41,"블러셔 젤리제형이 진짜 최고입니다😆 여쿨은 핑크아이싱 겨쿨은 비올레타 추천드리는데 저는 여쿨인데도 비올레타가 더 마음에 들어요! 블루펄이 들어있어서 오묘한 느낌이 너무 예쁩니다🥰 건조하지 않아서 좋기도 했어요.
그리고 하이라이터는 진짜! 엄청나게 곱더라고요. 그러면서도 발색이 확실해서 깜짝 놀랐어요. 곱고 비교적 자연스러운 하이라이터 좋아하시는 분들은 에스쁘아 하이라이터 마음에 드실 것 같아요! 용량도 완전 짐승용량이라 평생 써도 괜찮을 것 같습니다🤣"
42,"에스쁘아의 진주광을 너무나 사랑하는 저는 냉큼 8만원 어치를 질렀습니다… 브러쉬 세트 + 립스틱에 세트 구성품인 브러쉬까지 사은품 퀄리티가 다 너무 좋아요 👍

블러셔는 한 제품으로 베이스 포인트 펄까지 다 넣을 수 있단 게 장점인 것 같아요. 각각의 퀄리티가 막 대단하진 않은데, 다같이 썼을 때 시너지가 나는 것 같습니다. 가격 생각하니 매의 눈으로 보게 돼서 그런데… 제품력은 늘 그렇듯 괜찮다고 느꼈어요! 제가 구매한 옵션은 여쿨 분들이 잘 쓰실 것 같은 밝은 핑크 색상입니다. 

하이라이터… 왜 새틴광이라고 했는지 알 것 같습니다. 피부에 스며든 것 같은 광이 나요 🥺 번쩍번쩍한 물광이 아니라, 차르르 부서지는 윤슬 같은 광이에요. 과하지 않은 펄감이 너무 예쁩니다… 👍"
43,하이라이터 브러시는 단상자 안에 들어있어서 처음엔 누락된 줄 알았네요 ㅎㅎ 제품 자체는 출시 전부터 정말 기대했는데 역시 색조맛집답게 퀄리티 좋습니다 크림타입 블러셔는 확실히 요즘 유행하는 속광 연출하기에 좋았고 파우더는 색감이나 질감 모두 무난해요. 근데 하이라이터가 기대 이상이에요 평소에 디올 로즈골드 두번째 컬러나 베네피트 티클 애정하는 핑크빔성애자인데 존재감도 낭낭하고 타 로드샵 제품에 비해 질이 좋은 것 같습니다. 다만 포장이 너무 허술해요ㅠㅠ 완충재에 대충 쌓여져서 왔는데 배송 과정에서 자칫하면 금세 깨질 수도 있을 것 같습니다
44,"블러셔랑 하이라이터 대란이라 요즘 나오는것들 거의 다 있다고 봐도 될 정도라 최대한 안사려고 했는데 윈터 메이크업 너무 예쁜거 아니냐구요.. 라이브 혜택 너무 좋아서 그냥 질러버렸는데 진짜 넘 예뻐용 ㅠㅠ 다행히 파손도 안 되고 와서 내일 메이크업 이대로 해보려구용
에스쁘아 모델로 윈터 뽑은거 진짜 신의 한수 같아요 
코랄룩 핑크룩 섀도우 팔레트에 립까지 다 손민수했어용 ㅎㅎㅎ 당분간 코랄이랑 핑크 번갈아가며 메이크업할꺼예요"
45,"유튜브에서 할인 행사 한다는 메이크업 영상 보고 바로 구매했습니당 ㅎㅎ
같이 온 브러쉬는 평이 좋아서 기대했는데 역시!! 너무 부드럽습니당
하이라이트 펄 진짜 너무 이쁘고요 ㅠ 치크도 색 이쁜데 처음 왔을때 젤리부분 들뜸??? 현상이 심해서 이쒸하면서 손 열로 녹이니 나아졌네요 ㅎㅎ 잘 사용하겠습니다!!! 색조 맛집 에스쁘아 흥하고 앞으로도 이쁜 화장품 많이 제조해주세용~~"
46,"블러셔 젤리제형 부분이 들뜨거나 부서져 왔다는 후기를 봤어서 걱정했는데, 다행히 멀쩡하게 잘 왔어요 ! 색감 농협은행이고요..? 하이라이터는 마블이 좀 더 고르게 많은 걸 기대했는데 핑빔이 더 크게 자리한 친구가 왔습니다!"
47,"하 블러셔 선택에 후회없습니다.. 넘 예뻐요 진짜 미쳐버리겠다.. 나.. 에스쁘아 사랑했네..🤦🏻‍♀️

하이라이터는 핑크마린이랑 다르게 요번엔 마블이 주로 덮힌 친구로 왔습니다! 씨쉴은 오히려 마블 비중이 높은 게 더 맘에 들어용🐚"
48,씨쉘 발색보고 반해서 바로 구매했습니당 피부톤이 어두워서 블러셔는 로제트로.. 아직 제대로 발색은 안해봤지만 톤자체로만 봤을땐 너무 맘에듭니다 씨쉘은 생각보다 더 은은하고 정말 딱 진주빛! 밀착력이 좀더 있었으면 좋았겠어요 증정 브러쉬는 넘 작아서 놀랐지만 가지고 다니기 좋을거같습니다 선세럼도 궁금했는데 샘플와서 좋았어요 배송짱빠름!
49,"하이라이터 단품으로 사고 다른 색상도 궁금하고 치크도 궁금해서 사봤는데 이거 치크가 기대 이상으로 발색력이 좋고 특히 크림타입 부분이 은은하게 윤광 돌아서 넘 예뻐요!!! 
하이라이터 씨쉘이랑 핑크마린인데 씨쉘이 입덕주의화이트랑 비슷하다는 말이 있어서 사봤는데 얘가 더 옐로우기가 더 돌고 입덕주의가 더 화이티시 해요! 핑크 마린은 지이이이인짜 예쁜 핑크빔인데 크림치크랑 비슷한 느낌인가 했눈데 치크는 더 색감이 올라오는 편이고 하이라이터는 핑크 속광 마냥 돕니다. 아주 좋아요."
50,마감이 요즘 문제가 많아서 걱정했는데 제껀 다행히 멀쩡히 받았네요 피치피즈(?) 생각보다 핑크끼가 많이 돌아요 핑크에 자몽한방울 느낌?? 하라는 오프라 미니 사이즈랑 비슷? 보다 조금 커요 광예쁘고 발림성도 좋아요 근데 하도 내구성 문제가 많아서 들고다니진 못항거같네요
51,"도랏나... 너무 예쁘다....
배송도 짱 빨라서 놀랐네요.
흰끼 가득한 핑!크! 블러샤를 좋아하는데 너무 예뻐요. 하이라이터는 씨쉘을 선택했는데 블러셔랑 안어울릴까 걱정했는데 너무 잘어울립니다. 
발색력도 좋아서 만족입니다👍 안샀으면 후회할뻔.."
