,리뷰
52,핑크아이싱 사려다가 모브 컬러 블러셔가 없는 것 같아 비올레타로 구매했는데 받아보니 살짝 웜한거 같아 발라보니 은은하게 발색되고 보이는 컬러보다 쿨하고 괜찮았어요. 치크는 펄 컬러부분이 미쳤어요. 섀도우로도 쓰고 앞볼에 하이라이터 같이 써도 너무 이쁩니다. 하이라이터는 핑크빔이 뿜뿜해서 요즘 유행하는 아이돌 아이메이크업 따라서 할 수 있고 광이 너무 이쁘고 맘에 들어요:):)
53,블러셔는 발색력 지인짜 좋고 이뻐요!! 좋아하는 유튜버 보고 바로 지른건데 하이라이터 너무너무 기대했는데 그만큼의 광이 안나와서 너무 아쉽네요ㅠㅠㅠ 제가 잘 못하는건지 그래도 블러셔는 넘 이뻐요 브러쉬도 좋구 🥹 살짝 아쉽지만 잘 쓸게용
54,정말 너무 예뻐요 근 1년간 구매했던 에스쁘아 제품중에 제일 만족스러워요 치크는 좀 컬러가 흔해보여서 하이라이터만 구매하려다 세트1번 구성이 하라 + 치크 인데다 브러쉬 증정이라 겸사겸사 써보게됐는데.. 진짜 젤리블러셔 발색 은은하게 속광 올라와서 너무 예쁘고.. 실물이 찐이네요 치크에 핑크새틴빔 핑크마린 하이라이터 올리면 끝장남.. 다른 컬러도 구매하려구요🩷
55,"배송 미쳤음 겁나빠름 그리고 모든 제품이 진짜 어어엄청 발림이 부드러워요 
비올레타는 색 진짜 이쁘고 핑크마린은 은은하게 새틴광에 너무 고와요ㅜㅜ 블러셔가 파손되는게 많아서 걱정했는데 양품으로 잘 왔어요~
파우치랑 스크런치도 너무 기엽구 브러쉬도 핵 부드러워용 사길 잘했어요"
56,저도 처음에 하이라이터 브러쉬가 안보여서 누락되서 안온줄 알았어요 여름쿨톤이지만 무난하게 쓸 수 있는 씨쉘 하이라이터로 선택했어요 치크는 핑크아이싱으로 저에게 잘맞아서 좋았어요 디올 로즈골드와 디올 튀튀가 있지만 에스쁘와 제품력도 괜찮네요 택배가 빨리와서 좋았지만 포장이 테이프도 대충 떨어질것같이 허술하게 와서 좀 걱정이 되었어요 앞으로는 포장에도 신경 써주셨음 좋겠습니다.
57,"1번째 사진 - 하이라이터
진짜 바세린광같이 펄 입자가 작으면서 촘촘함
펄입자가 작고 자연스럽고 확실한 하이라이터 원하는 분들께 추천
3번째 사진 - 블러셔(젤리블러셔발색)
블러셔에 하이라이터 약간 더한 느낌
블러셔 바르고 한가운데에 바르면 너무 이쁠 것"
58,치크 너무 이뻐보여서 구매했는데 상태가 깨져서 곧 떨어져나가려고 하네요..ㅠ 빨리 쓰고싶어서 그냥 눌러서 쓰려고하는데 눌러도 이미 금진 건 소용 없는거 같아요 마감처리 좀 제대로 해주셨으면 좋겠습니다..
59,어제 라이브방송으로 구매했는데 오늘 오후에 배송 받았어요!!  완전 총알배송!!  로켓배송에 감동 받았어요ㅎㅎ 색이 넘 이뻐요 ~  살구빛?  복숭아빛? 주황주황이 과하지않고 이뻐요❤️ 함께 구입한 하이라이터도 웜한 컬러로 골랐고 만족합니다👍👍 함께 주신 브러쉬로 이쁘게 뽀용하게 피부에 올려볼게요ㅎㅎ
60,"피치피즈, 핑크아이싱, 핑크마린, 씨쉘 이렇게 네가지 구입했는데, 모두 다 예쁜데 피치피즈 색상은 여쿨인 저에게 다소 아쉽게 뜨는 느낌이어서 다른 색상을 같이 블렌딩해서 쓰고, 하이라이터 두 가지 색상은 모두 은은하게 존재감이 약간 드러날 정도여서 부담스럽지 않게 예뻤어요~ 22일 지그재그에 런칭하는 오로라도 기대되네요."
61,라이브 기다려서 구매했는데 구성품도 가격도 좋네요! 생기있는 복숭아색상 블러셔에 하이라이터와 각각 브러쉬까지 포함되어서 너무 좋습니다. 특히 블러셔가 파우더타입 2컬러+젤리컬러로 되어있는데 유용할것같아요. 조금 아쉽다면 젤리컬러 면적이 좀더 작고 파우더컬러 면적이 넓었으면 좋았을것같습니다. 젤리컬러는 남고 파우더컬러는 금방 쓸것같아요.
62,"여러 체험단 후기들이 좋고 윈터 사진이 너무 예뻐서 홀린듯이 구매하게 됐습니다. 잘 깨지지않고 와서 다행이지만 완충재가 조금 허술하다는 느낌을 받았어요!

사용해본 후기는 색도 예쁘고 너무 좋아요.. 특히
하이라이터 광이 너무 제 스타일🥹 앞으로 잘 쓰겠습니당"
63,"쿨톤에 쨍한거 정말 안어울리는편 하지만 피치피즈가 아른거려서 냅다 결제! 받아보니 파우더타입에 핑크빛도는 피치부분이 많아서 너무 귤러셔 느낌은 아님! 발색도 적당해서 쿨톤도 코랄피치느낌내고싶다면 사볼만함! 젤리타임 여릿해서 너모 이쁨!!
하이라이터 말모! 영롱 그잡채!! 물먹인듯 뽀용함🫶"
64,하이라이터 진짜 꼭 사세요!!! 입자가 엄청 고와서 정말 예쁜 광 연출하기에 너무 좋고 색상도 노란빛이 강하지 않아서 모든 얼굴톤에 잘 맞을 거 같아요 블러셔도 여름에 바르기 생기 있고 맑은 컬러라 손이 자주 갈 거 같아요 너무 만족해용
65,"젤리를 먼저 올리는건지 파우더 타입을 올리는건지 잘모르겠네염 사용방법 추천 같은게 적혀있으면 좋을것같아요. 젤리도 손으로 올리는건지 ? 잘 모르겠어여! 
하이라이터는 밝고 좋아요 팬브러시내장되어와서 좋습니다"
66,아직 화장을 안 해서 얼굴에 발라본건아니지만 팔목에 발라봤을 때는 너무 예뻐요ㅠ ㅠ...갤럭시 사용자며 프로로 색을 잡긴했는데 주변이 너무 어두워서 잘 보일지 모르겠어요ㅜㅜ 제 피부는 노란피부면서 겨울쿨톤이에요 22호이고요 참고해서 보세요
67,실물이 밝고 더 흰끼 있어요 ~최고…코덕이라 유명한 핑크 하라 웬만한거 많이 가지고 있지만 반사광이 다르기 때문에 당연 품어야함…펄 잘하는거는 알고 있었는데ㅜㅜ씨쉘도 고민됨 아 그리고 증정 브러쉬 질 좋아요 작고 실용적~ 브러쉬 땜에 하나 더 사고싶음 ㅠㅁㅠ…
68,"와..케이스도 너무 예쁘고, 발색이랑 제형도 너무 마음에 들고...간만에 진짜 에스쁘아에서 블러셔 잘 뽑은게 느껴집니다...강추합니다!!"
69,"아직 안써봤지만 그냥 믿고 구매하는 에스쁘아💜
요즘 하이라이터에 관심이 가서 에스쁘아에서 신상하이라이터 나온다고 해서 후다닥 구매했습니당! 하이라이터만 구매하려했는데 같이 나온 신상 블러셔도 너무 예뻐서 같이 사버렸네용 ㅎㅎ 구매금액별 사은품들도 너무너무 맘에 들어용! 나중에 한달 사용후기때 사용해본 후기를 남기도록 하겠습니다!"
70,"블러셔 색도 둥둥 안뜨고요 무엇보다 쉬머한 글리터가 있는게 너무 좋아요ㅜㅜ 하이라이터 주기전에 슬쩍 깔고 하이라터로 포인트 주면 그야말로 존예탬ㅜ
최근 하이라이터도 대유행인데 용량도 질감도 색도 그냥 미쳤어요ㅜ 개강추🥹"
71,"구입하고 바로 다음날 오후2시에 받았어요
배송 완전 빨리 받았구요
하이라이터 만져보면 완전 부드럽고 촉촉한타입
한번도 느껴보지못한 질감이였어요
얼굴에 바르면 자연스럽게 광연출 가능해여👏👏
블러셔도 은은하게 발색되서 데일리로 완전 굳
여쿨 뮤트이신분 비올레타 추천드려요"
72,하이라이터가 너므옙흐네여 제가 가진 하라중에 제일 자연스럽고 속광같아요 블러셔도 발색이 여리여리한 편이라 둘다 데일리로 완전 잘쓸듯!
73,겨울 쿨톤이지만 봄웜톤까지 가능한 피부톤이라서 이번에 피치컬러 치크랑 씨쉘 하이라이터 구매해봤는데 젤리부분 치크 색감이 진짜 예뻐요 ! 펄이 들어있어서 앞 볼 차오르는 느낌 내기 좋고 하이라이터도 진짜 새틴 광 그 잡채... 더 써보고 조만간 쿨톤 컬러들도 구매할 것 같아요
74,"배송 빨라서 좋아요! 하이라이터 가운데 부분이 살짝 금가긴 했지만 그냥 쓰려고 합니다ㅎㅎ

+) 금간 부분 문질문질 해주니까 체온에 녹았는지 멀쩡하게 붙었습니다! 에스쁘아 최고❤️"
75,"후기에서 블러셔 들려서 오거나 깨져서 온 경우가 많다고 해서 걱정했는데 다행히 그러지는 않았어요!
하이라이터 쉬셀 구매하규 너무 예뻐서 다시 구매하는건데 핑크마린도 기대만큼 너무 예뻐요!"
76,"봄라~여라 걸쳐있고 코랄 잘 안받아서 핑크 계열로샀어요
발색 생각보다 은은한 편이고 블러셔에 들어있는 펄이 세상 예쁩니다 

존존존예 에스쁘아 단종 장인이라 맘에 드는 것들 단종되서 아쉬운 적 많은데 이건 오래팔아주세요.. ㅋㅋ"
77,"피치피즈, 핑크아이싱, 핑크마린, 씨쉘 이렇게 네가지 구입했는데, 모두 다 예쁜데 피치피즈 색상은 여쿨인 저에게 다소 아쉽게 뜨는 느낌이어서 다른 색상을 같이 블렌딩해서 쓰고, 하이라이터 두 가지 색상은 모두 은은하게 존재감이 약간 드러날 정도여서 부담스럽지 않게 예뻤어요~♡"
78,웜톤 추천템으로 구매했는데 핑크마린이랑  핑크아이싱이 눈에 밟혀서  또 구매했어요 어제 밤늦게 주문했는데 배송도 엄청 빠르고 너무 예뻐요 ㅎㅎ
79,"하이라이터는 브러쉬보다 손으로 발랐을 때 광이 더 올라오고
증정 브러쉬로 발랐을 때에는 좀 자연스러워요
그리고 촉촉한 하이라이터..!는 아닙니다

블러셔는 생각보다 발색이 좀 많이 옅은 편이었어요
(증정 브러쉬 기준)
근데 여리여리해서 더운 느낌 없는 건 좋습니다
젤리부분은 자글자글 모래알같은 펄이
햇빛 받으면 예쁠 것 같아요~"
80,"진짜진짜진짜 저 광이 너무 이쁨
윈터님보고 홀려서 구매했는데 차르르한 광이 진짜였음
색감은 팔뚝에서 그리 진하게 발색되지않는데 막상 얼굴에 올렸을 때는 사진보다 잘 발색되고, 블렌딩도 잘 됨🤩"
81,하이라이터는 발림상 발색 너무 좋은데 블러셔가 같이주신 브러쉬랑 바르면 가루날림이 어어어엄청 심해요. 그냥 가루제조기수준.. 그래도 젤리부분 발색은 너무 예뻐서 품고갑니다
82,피부가 봄웜 21-22호 걸치는데 사진이나 라이브 방송에서 피치피즈가 너무 뽀용흰기 낭낭해보여서 발색이 잘 안될까봐 걱정했는데 전햐 걱정할 필요 없었고 발색 잘되네요 저한테는 흰기가 낭낭한 그런 블러셔는 아니어서 오히려 좋아용
83,블러셔보다 하이라이터가 더 좋습니다. 브러쉬로 바르니까 균일하게 발리고 자연스러운 광이예요. 저는 블러셔 막 바르는 거 좋아하는데 젤리블러셔가 바로 옆에 있어서 브러쉬에 조심해서 묻혀야하는 게 불편했습니다. 그거 빼곤 블러셔도 좋아요.
84,"여쿨로 안살수가없는 색상 구성이었습니다…❤️
첨에 하라브러쉬 내장인줄 몰라서 안온줄알았는데 내장이었어요 ㅋㅋㅋ 브러쉬도 부드러워요
하이라이터 용량 많고 마블도 예쁩니당 ~~ 스크런치도 기여움 라방 늦게봐서 끝날즈음에 샀는데 24시간도 안되어서 날아왔ㅇ ㅓ요 짱💛💛"
85,"세트로 구매하였어요. 신상 빨리 써보고 싶어서 세트로 구매했어요. 오늘 여행가기전에 하고 출발했는데, 지속력이 너무 좋고, 색상도 제 마음에 쏙 드네요"
86,"발색이 연하긴 하지만 색감 자체가 너므 이뻐서 안살 수가 없는 제품이네요. 하이라이터도 치크도 너무 좋습니다. 거기다 비건 제품이기까지, 최고에요   많이 파세요ㅠㅠ"
87,비올레타색상 모브한 쿨톤느낌 낭낭하니 차분해서 넘 이쁘구요! 씨쉘 발색 진짜 미침…하이라이터 조절 못하시는 분들도 편하게 쓸 수 있을거같아요. 아주 얇고 고르게 챡 올라갑니당!
88,"제품은 예쁜데 브러쉬 하나 덜 오고 젤리쪽이 저렇게 붕 떠 있네요...
같이 구매한 핑크 아이싱은 들뜨진않고 갈라져있음.. 귀찮아서 교환은 안하겠는데 좀 황당해요"
89,우선 제일 기대했던 하이라이터 발색해보니 광이 너무 이뻐요 정말 만족스럽고 쿨톤에게 찰떡인 핑크빔이 최곱니다! 블러셔도 세종류 모두 잘 쓸 것 같아요!
90,색상이 너무 예쁘게 나와서 이거 사지 않으면 후회할 것 같다고 생각이 들어서 구매했어요ㅠㅠ 진짜 후회 안합니다 .. 색조 맛집을 찾았다요 ..~! 증정품도 너무 귀엽구요ㅠㅠ
91,"겨울 쿨톤이라 모브컬러를 좋아해서
세트로 구매했어요 요즘 펄 블러셔 느낌을 좋아해서
아주잘쓸거같아요!! 사은품도 많이챙겨주셔서 감사합니다 잘쓸게요~!"
92,"이번 블러셔랑 하이라이터 조합 장난 아니네요 마블링된 부분도 예쁘고 입자가 고와서 샥 발려요
블러셔 색 조합도 넘예쁘네요 다른 색상도 구매하고 싶네요!!"
93,패키지도 너무 예쁘구 세트 구성도 너무 귀엽고 좋아요! 웜톤이지만 비올레타 색이 너무 예뻐서 안 살수가 없었읍니다… 덕분에 쿨톤병에 걸려보네여
94,블러셔는 딱 봄에 어울리는 예쁜 색이고 하이라이터... 펄감에 반해서 구입했는데 정말 잘한 거 같아요!! 진짜 고운데 차르르해요!!
95,"봄웜도 사용 가능한 핑크 하이라이터에요!
코부위보다 특히 블러셔 후 볼에 발랐을때 더욱 진가를 발휘하는 하이라이터입니다❤️"
96,"일단배송무엇로켓배송보다개빠름
후기는없었으나협찬후기대략적으로보면서
엄허이건내꺼다해서같이셋투셋투구매함
블러셔발색력은여러번덧발라야색감나올듯
하이라이터도은은해서웜브라이트한테
차알떡그잡채~~무엇보다사은품개개개애이덕"
97,하이라이터도 너무 예쁘고 블러셔도 너무 예뻐요!! 근데 이번 제품 마감 무슨일...다행히  제껀 정상으로 와서 좋았지만 쓰다가 문제 생길까봐 다른 컬러는 구매 안하려구여
98,너무 너무 예쁩니다. 색깔별로 사길 잘한 것 같아요
99,하이라이터 치크 모두 잘왓고 예쁩니다! 이구성에 가격도 괜찮고 증정용 브러쉬들도 좋습니다.
100,핑크계열만 사려다 피치톤두 포기못해 두세트 샀는데요 배송도 빠르고 발색도 정~말 좋아요 사은품으로 주신 브러쉬도 좋네요
101,블러셔 파우더 입자가 부드러워서 발색이 잘 됩니다!! 하이라이터도 너무 영롱해요! 여름뮤트 이신 분들은 이 세트 그대로 구매 하시면 될 거 같습니다!
102,출시되기만을 기다렸다가 구매했는데 완전 만족해요 !! 특히 하이라이터 너무 이쁘더라구요 앞으로 자주 쓸 것 같아요!
103,발림성이 부드럽고 생김새가 아리따웁니다… 윈터가 모델인 이유를 알겠는 에스쁘아 신상! 최고에요 다른 색도 구매하려구여
104,"너무 예쁘게 발색되고 뽀용하게 올라오기보다 자연스럽게 올라오는 생기정도라 너무 예뻐요ㅠㅠ 그런데 생각보다 입자가 크다는점,,!"
105,하이라이터는 펄감이 은은해서 맘에 들고 치크는 생각보다 발색이 진하지 않아서 부담없이 바르기 좋을 것 같아요:)
106,"오자마자 바로 발라봤는데 색 맘에 들어요! 
근데 저도 치크 저렇게 와서 아쉽습니당ㅜ"
107,색깔 고민 엄청 하다가 구매햇는데 너무 ㅇ예버요 블러셔는 젤리 부분 땨문이라도 살 가치가 잇고요 하이라이터는 예쁘다고 입소문타길래 삿는데 역시 좋드라구요
108,"씨쉘보다 더 고운입자여서 자연스러워요
컬러가 너무 예뻐요
블러셔는 매트는 평범하고 젤리는 레이어링힐때 좋아요"
109,"약간 부스러기처럼 와서 속상해요 ㅠ ㅠ 
두세트 사서 별거별거 다 받았습니다"
110,가을웜이라 치크 좀 많이 바르고 하라 쓸어주니 넘나 봄이네요ㅎ 같이주신 메컵브러쉬랑 스크런치도 생각보다 쓸만해여
111,"모브 블러셔 쳐돌이라 비올레타 겟..! 파우더 블러셔 준수하고 젤리타입이 진짜 미쳤네요
씨쉘 하이라이터 진짜 정석 샴페인 베이지... 데일리로 잘쓸듯 해요
핑크마린도 사고싶네요 ㅠㅠ"
112,봄웜톤은 꼭사야하는 셋트에요 ! 같이 온 붓도 부드럽고 색상도 이뻐요 촉촉한 치크도 같이있어서 좋아요
113,블러셔랑 같이 쓰면 속광이 촤르륵....뺨만은 윈터만큼 예쁩니다. 블러셔는 파우더 보다는 젤리 치크 쪽이 더 예뻐요. 씨쉘도 쟁여야되나 고민중입니다 ㅋㅋ
114,"신상 나왔다고 해서 바로 사서 사용해봤어요. 너무 자연스러워서 좋았고, 지속력도 너무 좋네요"
115,윈터 좋아해서..홀린듯 구매했어요 웜톤이라 핑크말고 피치로 구매완료 발림성도 괜찮고 색감도 예쁜 것 같아서 마음에 듭니다
116,기대했었는데 저한테는 살짝 발색이 아쉬웠습니다.. 새 제품인데 가장자리 벌어짐이 좀 심합니다
117,파우치가 이렇기 작을줄이야ㅋㅋㅋ 쿠션하나 들어가면 끝이네요ㅜ 조금만 더 컸으면 넘 좋았을텐데 그래도 본품이 너무 예쁘끄 별5개
118,색감이 맑고 예뻐요. 질감도 폭신하니 좋습니다! 빠르게 배송와서 더 좋네요
119,라이브로 구매해서   가격도 저렴하고  사은품도  좋고 질도  좋긴한데  블러셔   젤리  부분이  접착이  잘 안되  금방  떨어질것  같아요. 그 부분은 보완 하셔야  할 것 같아요.
120,신상인데 출시 전부터 핫해서 라이브할 때 구매했어요 ㅎㅎ 파손 없이 잘 왔고 예쁘네요 잘 쓸게요
121,깨진것없이 잘왓고 하이라이터 너무 예쁩니다!
122,라이브 알림와서 둘러보다가 구성이 좋아서 구매했어요^^ 실용적인 구성품 너무 만족해요♡
123,"하이라이터 예쁘고 블러셔는 젤리쪽이 예쁘네요
근데 2세트 구매했는데 블러셔 브러쉬가 하나만 왔어요... 그리고 한 컬러는 젤리쪽 들뜸있네요...."
124,"발색력좋구 발림성도 뭉치지
않고 좋네여 같이 보내준 브러쉬로 사용하니
찰떡입니다 머리끈도 예뻐요"
125,배송 빨라요~ 색깔 너무 예뻐요~ 다른 색깔도 사고 싶어요 ☺️
126,광은 쎄지 않지만 컬러감이 쎄서 발랐을때 티가 나는 ST 광량은 적지만 티가나는 하지만 은근 자연스러운... 근데 이게 어케 9그램이지 🤔
127,하이라이터가 좋다고 해서 구매했는데 전 블러셔랑 블러셔 브러쉬에 빠졌습니다.... 딱 제가 찾던 복숭아색 블러셔예요...🍑 하이라이터는 명성 그대로 물광 차르르 합니당..
128,은은하게 속광올라오면서 예뻐요 구성도 좋고 블러셔도 이뻐요
129,라이브 방송 보고 구매했는데 가격도 괜찮고 제품도 좋아여!! 배송넘넘 빨라서 좋네요ㅜ 다음에도 구매하고 싶어요
130,배송 빠른 건 좋아요 근데 블러셔는 모서리가 박살났어요 교환 귀찮아서 그냥 쓸게요
131,깨져서 왔어요. 귀찮아서 교환안할거에요. 상품 검수 잘 해여할거같아여. 색상은 딸기우유 색상이어서 지금 잘하고 다닐거같아요.
132,"윈터님 인스타게시물보고 너무예뻐서
에스쁘아 신상이 너무궁금해졌어요
윈터픽인 이유가있네용 잘쓸게요!"
133,"에스파 윈터 볼따구가 너무너무 부러웠던 사람 
바로 저예요 블러셔도 너무 예쁘고 하이라이터 광도 미쳤어요...이제 부럽디 않아요 행복"
134,처음에 발색이생각한거보다 진해서 놀랐는데 색이 너무이뻐요!
135,발색이 잘 되어서 좋지만 아무래도 2구로 나눠진 치크의 경우 동봉된 브러쉬가 아니라면 바르기 조금 불편한 크기였어요🥲
136,"하이라이터가 진짜 좋네요
텁텁하지 않은 맑은 투명광 찾으시는 분 
이거 사십쇼"
137,"하이라이터가 너무 화려하게 쉬머링 하지않아서 좋아요
마감이 조금 아쉬운데 제품자체는 맘에 들어요"
138,핑크보단 바이올렛이 좀더 차분하니 이뻐요. 이건 안깨져서 왔네요.
139,색감이 예쁘네요 ㅎㅎ 라이브때 좋은 구성으로 잘 산 거 같아 좋아요
140,어머머 너무 좋아요 신상인데도 ~ 분홍분홍 하고 번들거리지 않고 볼이 탱탱 하게 빛이나네요
141,너무 마음에 듭니다 딱 원하던 색이네요 블러셔랑 하라 모두 예쁩니다
142,요즘 하이라이터 붐이네요 예쁜거 너무 많이 나와... 블러셔에서 젤리 부분이 찐이에요 진짜 예쁨
143,배송빠르고 다 잘왔어요 좋아요오
144,진짜 광 미쳤어요! 요즘 블러셔 위에 광 차르르 메이크업 하고싶었는데 혁명입니다 다들 사세요
145,빠른 배송 감사합니다~ 정말 예쁘네요
146,구성 너무 마음에 들어요 스크런치랑 브러쉬 세트는 조금 조잡해요...
147,"구매할 때 왜 망설인건지
발림성도 좋고 너무 예쁘네요"
148,세가지 구성으로 되어잇어서 표현하고 싶은대로 바르기 좋아요!
149,윈터님 메컵 해보려고 다 사봤어요 브러쉬까지 사은품이라 넘  죠으네용
150,"은은하면서도 수채화처럼 발색이 되어서 브러쉬로도, 스펀지로도 발색이 잘되어 아주 마음에 들어요!"
151,펄들어간 블러셔 안좋아하는데 이건 요철 부각도 안돼고 오히려 볼쪽 피부가 더 좋아보이게 해줘요 :)
152,예뻐요 발색좋고 촤르르합니다
153,블러셔는 뽀용 핑크라 이쁘구 하이라이터는 은은한 핑크빔이라 같이 쓰면 더 이쁠거같아용
154,나오기 전부터 엄청 사고싶었는데 아직 안 써봤어요 ㅠㅠ 좋았으면 좋겠네요
155,세트바리로 삿어요 이뻐용 얼른 싸보고싶어요 ㅎㅎㅎ
156,이뻐요 다행히 안깨지고 무사히 왓습니다 만족
157,배송 엄청 빨랐고 사진 찍고 살짝 뜯어봤는데 너무 이뻐서 한세트 더 쟁이고싶어요ㅠ
158,너무너무 예뻐요...빠른 배송 감사합니다
159,기대했던것만큼 너무 좋아요 ㅋㅋ인생블러셔 당첨ㅋ
160,라이브에서 좋은 가격에 샀어요~ 믿고 쓰는 에스쁘아에요~
161,쿨톤에 어울리는 핑크같아요. 하이라이트는 너무 예쁩니다!
162,발색도 잘되고 볼에 올렸을때 너무 예쁩니다 손이 자주 갈꺼같아요
163,엄청 빠르게 도착했어요 뽀용하니 예뻐요!
164,블러셔 뽀용해서 넘예ㅠㅠ 립은 그 윈터님 립 발랐어요 체리 머시기...
165,"구성도 넘 좋아요. 용량이
많아 오래 쓸것같아요"
166,아직안써봤지만 색감너무취저고 증정브러쉬도미니미한게파우치에넣고다니기좋을꺼같아요
167,아직안써봤지만 색감너무취저고 증정브러쉬도미니미한게파우치에넣고다니기좋을꺼같아요
168,색이 너무 예뻐서 구매했는데 발라도 예쁩니다
169,너무 예뻐요~ 마음에 듭니다
170,"하이라이터 엄청 맑은 핑크빔이에요 개예쁨
치크 젤리 부분이 엄청 예쁩니다 따로 갖고싶을 정도"
171,배송 완전 빠르고 핑크빔도 예쁩니다 맘에 들어요
172,너무이뻐요 ㅠㅠ 사은품 진짜 레알 혜자임
173,비올레타랑 씨쉘도 사버렸어요 너무이뻐요 ㅠ
174,15일 되기만을 기다려서 샀어요^^... 아직 사용 전이지만 예쁠거 같아요
175,라방때 샀는데 브러쉬도 증정으로 오고 색깔도 이쁩니다🥰
176,돟아요 만족합니다 잘쓸께요
177,노란기 많은 쿨톤인제 쿨톤이라도 너무 뿌어면 뜨는데 딱 정당한거 같음
178,윈터 손민수에 진심이라 일단 사고봤는데 뭐임 개이쁨
